temperatura,umidade,classificacao
32,50,Precisa de Vento para Conforto
32,55,Precisa de Vento para Conforto
32,60,Precisa de Vento para Conforto
32,65,Precisa de Vento para Conforto
32,70,Precisa de Vento para Conforto
32,75,Precisa de Vento para Conforto
32,80,Muito Úmido
32,85,Muito Úmido
32,90,Muito Úmido
34,20,Muito Seco
34,25,Muito Seco
34,30,Muito Seco
34,35,Precisa de Vento para Conforto
34,40,Precisa de Vento para Conforto
34,45,Precisa de Vento para Conforto
34,50,Precisa de Vento para Conforto
34,55,Precisa de Vento para Conforto
34,60,Precisa de Vento para Conforto
34,65,Precisa de Vento para Conforto
34,70,Precisa de Vento para Conforto
34,75,Precisa de Vento para Conforto
34,80,Muito Úmido
34,85,Muito Úmido
34,90,Muito Úmido
36,20,Muito Quente
36,25,Muito Quente
36,30,Muito Quente
36,35,Muito Quente
36,40,Muito Quente
36,45,Muito Quente
36,50,Muito Quente
36,55,Muito Quente
36,60,Muito Quente
36,65,Muito Quente
36,70,Muito Quente
36,75,Muito Quente
36,80,Muito Quente
36,85,Muito Quente
36,90,Muito Quente
38,20,Muito Quente
38,25,Muito Quente
38,30,Muito Quente
38,35,Muito Quente
38,40,Muito Quente
38,45,Muito Quente
38,50,Muito Quente
38,55,Muito Quente
38,60,Muito Quente
38,65,Muito Quente
38,70,Muito Quente
38,75,Muito Quente
38,80,Muito Quente
38,85,Muito Quente
38,90,Muito Quente
